(DeviceArray(0.7251876, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f655c6cbac8>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.72325337, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f65bc041908>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.71561086, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f655c11abe0>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.713135, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f64e83dbdd8>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.70852715, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f65b466d1d0>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.70485634, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f655c11a7f0>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.67746705, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f65503e9e80>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.6702286, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f65744bc278>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.65686923, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f64e80a3c18>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.6498113, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f6534241588>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.6497941, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f65502805f8>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.63936627, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f657448a2e8>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.62789816, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f642045d710>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.6249323, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f64e808f2b0>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
