(DeviceArray(0.7780808, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f469c197940>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.7734327, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4705b776a0>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.7723955, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c5b3f470>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.76559615, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f467c725908>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.7595267, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f463b6f3e48>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.74973106, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f463b6e76d8>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.7487707, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4706648198>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.7486939, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f469c39c0f0>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.7483482, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c40648d0>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.73993546, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4674598ba8>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
