(DeviceArray(0.7354026, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f463bba46a0>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.72614473, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4639d884a8>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.7222649, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46ded0d048>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.71677166, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46398c5358>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.7040181, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46df55ad68>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.7015596, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f463975ca58>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.7014828, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46393cc9b0>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.6946066, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f463aa817b8>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.6945298, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46df4b0be0>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.6923786, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4639a7deb8>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.68826824, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f463a99e748>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
