(DeviceArray(0.6616856, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c7aab2e8>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.6247695, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c7a3e198>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.6216195, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46de12e630>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.6142824, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46de7c4da0>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.5968039, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46dc02f908>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.5903119, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c6d199b0>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.59011984, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c76736d8>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.58662415, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c6364be0>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.58389676, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c728cb70>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.5834358, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c7dff160>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.5764828, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c7618f28>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.5760986, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46de32a1d0>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.5655347, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c773a048>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.55589277, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c68e1a58>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.5546635, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c761a0b8>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.5229333, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c7a392b0>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.51163954, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46c62a5978>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
