(DeviceArray(0.84021217, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f3314416f98>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.84021217, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f3218327278>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.83998865, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f329c0ab048>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.8394471, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f31bc17e860>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.8393525, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f31e46c82b0>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.8393181, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f31bc248240>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.83923215, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f335819a780>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.83857876, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f31bc494be0>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.83843267, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f326c07be80>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.8383295, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f3200473550>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
