(DeviceArray(0.7896051, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff1641a1f28>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.7893746, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff0963a7da0>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.78741544, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff075668550>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.78545636, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff09724b5c0>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.78303623, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff076528160>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.77961737, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff097ccb9e8>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.77735096, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff0960514a8>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.77681315, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff134626550>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.77577597, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff076529198>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.7710126, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff134679940>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.76498157, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff09700bfd0>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
