(DeviceArray(0.78841424, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb534143eb8>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.7876844, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb47b201f28>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.7855332, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4b9c3f7f0>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.78522587, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb497bb6780>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.7821143, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb52c15b3c8>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.77838814, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4b921bc18>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.7770052, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4b881e470>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.77685153, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb496214cf8>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.7739705, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4b8893ba8>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.772165, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4b8546b70>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
