(DeviceArray(0.8512934, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f410804da90>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8511902, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f41bc499c10>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8510871, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f4200139b80>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8508893, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f40ec49e2b0>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.85064864, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f410803f430>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.850597, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f419405f6a0>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8504423, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f41bc05b9d0>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8503392, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f41d4326880>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8502188, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f4120760f40>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.84996086, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f4154303c10>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8498148, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f4120477fd0>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
