(DeviceArray(0.85113007, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f504c368d00>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.8510613, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f50e46a87c0>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.8510269, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f50e462afa0>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.8508893, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f50fc2439d0>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.8508893, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f5084729d60>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.8506314, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f500c557400>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.85061425, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f50844072e0>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.85041654, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f50fc41dc10>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.85034776, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f508427a850>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.8503392, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f50e469f490>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.8498491, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f513055cf40>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.84972876, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f510c3e4df0>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.84956545, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f506017c370>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
