(DeviceArray(0.90860003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48f440d198>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.90770006, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f487c550400>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.90580004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48f4419668>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.90410006, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48b441ad68>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.89840007, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48c4631780>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8945, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48c4196898>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8931, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48c435e710>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8917, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48f42134e0>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8722, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48f4144320>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.86910003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48f41da7f0>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8679, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48f43ad5f8>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.86770004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48f4135860>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.86590004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48c4575d68>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8521, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f48f4203320>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.83690006, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4970263fd0>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.83660007, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f487c41a898>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.81860006, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f492c17f240>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8115, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f492c1d5710>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8022, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4970124e48>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.7982, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4970311a90>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
