(0.98440003, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30})
(0.98420006, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 64, 'epochs_per_round': 2, 'rounds': 30})
(0.98410004, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30})
(0.98350006, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 64, 'epochs_per_round': 2, 'rounds': 30})
(0.98230004, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 64, 'epochs_per_round': 2, 'rounds': 30})
(0.98230004, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 64, 'epochs_per_round': 2, 'rounds': 30})
(0.98190004, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 64, 'epochs_per_round': 2, 'rounds': 30})
(0.9807001, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30})
(0.97980005, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30})
(0.9793, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 64, 'epochs_per_round': 2, 'rounds': 30})
(0.9789001, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30})
(0.97760004, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30})
(0.9761, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30})
(0.97580004, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30})
(0.9753001, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.7, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 64, 'epochs_per_round': 2, 'rounds': 30})
(0.97510004, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30})
(0.9746, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 64, 'epochs_per_round': 2, 'rounds': 30})
(0.97190005, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30})
(0.97190005, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 64, 'epochs_per_round': 2, 'rounds': 30})
(0.97050005, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 64, 'epochs_per_round': 2, 'rounds': 30})
(0.96940005, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30})
(0.9682, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 64, 'epochs_per_round': 2, 'rounds': 30})
(0.96660006, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 64, 'epochs_per_round': 2, 'rounds': 30})
(0.9663001, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30})
(0.96230006, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30})
(0.9606, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30})
(0.96000004, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30})
(0.95940006, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30})
(0.95550007, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30})
(0.95550007, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.7, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30})
(0.9534, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30})
(0.95180005, {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f004060ac88>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 64, 'epochs_per_round': 2, 'rounds': 30})
