(DeviceArray(0.9585, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f479441bcc0>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.95800006, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4756df1400>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.957, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4756b6ac50>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.95610005, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4757171e10>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.95580006, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f47577e1588>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.95570004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4757ba62e8>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.95570004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4756bf12e8>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.9531, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4757796dd8>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.95280004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4757bffeb8>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.95280004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4757611828>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
