(DeviceArray(0.9628, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4721dc3048>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.96270007, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f47233e3358>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.96180004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4721de45c0>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.9592, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f472261e5c0>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.95730007, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f472028b7b8>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.94850004, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f47226a2c50>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.94570005, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4721ccb7f0>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.9445, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f47233cbcc0>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.9427, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4705687908>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.93960005, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f487c096630>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
