(DeviceArray(0.84153605, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f030821d2e8>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8415103, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f03245b3978>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8414845, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f02641da7f0>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8414415, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f02c47a8be0>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.84139854, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f02a441ecc0>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.841218, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f038426f6d8>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8406592, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f02c40686a0>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.840238, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f02a414d908>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8398511, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f034c10d400>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.839043, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f032414b588>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8389571, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f03242ee860>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.83761597, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f03240567b8>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8371173, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f0384421be0>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.8365929, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f02a434d390>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.83657575, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f02a436e5f8>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.83578485, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f02c4395438>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.83546674, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f0284668400>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.83408266, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7f02a44297b8>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
