(DeviceArray(0.79041976, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fc9e43a95c0>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.78683496, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fca207ece80>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.7553708, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fc9347c2748>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.75298095, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fca201cb748>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.6903536, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fca204ae668>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.6900613, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fc95c2ae080>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.6692228, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fc9b45b8240>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.6564824, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fca202bd0b8>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.6442234, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fc93c3350b8>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.6375953, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fc97c322ac8>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.6095011, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fc93c6c9438>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.49574032, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fc95c534cc0>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.4166244, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fc9041f57b8>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.40220764, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fc95c2ac198>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.25206536, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fc93c354898>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.20277159, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fca407271d0>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.1132794, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fc93c541a90>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.10803539, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fc904528b38>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.09791701, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fc93c1c76a0>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.09336933, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fc95c69a198>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.07479174, dtype=float32), {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fcab04fca90>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
