(DeviceArray(0.6654502, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475e0817b8>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.6644514, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475c8f59b0>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.65069914, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475d683278>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.6501613, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475d943908>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.64989245, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475dd76c18>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.6307621, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475d2fc630>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.6274969, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475cecc860>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.6266134, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475df50588>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.6242317, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475e73b4e0>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.6165873, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f475d3173c8>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
