(DeviceArray(0.8330132, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4704d08198>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.83236015, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4707d24278>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.83201444, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46df091128>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.8292486, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46de6eb400>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.8287876, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46dee03668>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.82563764, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46dff99c18>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.8210664, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4704360f98>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.8206822, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f47049f6630>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.8194914, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4704233518>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.81776273, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46dee10f60>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.8170329, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f47052518d0>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.81595725, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f470579d908>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.81211585, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f46dfbfeeb8>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.80696833, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f47041a9128>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
