(DeviceArray(0.4013, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4623a75ba8>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.39990002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4620c67eb8>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.39890003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4620e1f320>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.3984, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f462b7d6be0>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.39790002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f462a4db7f0>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.3977, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f462320da20>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.39720002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4621c3c080>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.39720002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4621c79828>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.39470002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4629de2358>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
(DeviceArray(0.3939, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f462b1e86d8>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 5.0})
