(DeviceArray(0.30890003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff05a1a6908>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.30690002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff05a9c9e80>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.3045, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff045e740b8>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.30100003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff05b75b978>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.29920003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff00a5523c8>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.2982, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff016f7d2e8>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.29180002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff01758f080>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.28590003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff0b4408160>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.266, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff00bd58978>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.2581, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff0752dbf98>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.2502, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff046efed30>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.24480002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff00bda65c0>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.24430001, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff015fdbba8>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.22610001, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff046673c50>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.19780001, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff05aa150b8>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.1756, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff047628f60>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.16190001, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff0161049e8>, 'client_lr': 0.3, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.1594, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff05bc03cc0>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
(DeviceArray(0.1428, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7ff01425c198>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.1})
