(DeviceArray(0.32290003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb47acabd68>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.3219, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb47a5b67b8>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.3199, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb47afdfd30>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.31910002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb45f852390>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.31890002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4169479e8>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.3188, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb45f7e7748>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.31460002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb4375f35f8>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.3138, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb436c42630>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.31300002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb416a02be0>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
(DeviceArray(0.3109, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7fb416e8d128>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 0.02})
