(DeviceArray(0.33220002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f45240b6390>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.3318, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f3fd8abb240>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.33110002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f3fd87f6518>, 'client_lr': 0.07, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.33100003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f3fd93e7048>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.33100003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f3fcb464128>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.3296, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f462156eb38>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.32930002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f3fd92ccb00>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.32840002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f40313fa5f8>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.32840002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f403176f8d0>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.32650003, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f448c0c3dd8>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.32590002, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4621cddda0>, 'client_lr': 0.09, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.3253, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f3fdb411940>, 'client_lr': 0.03, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
(DeviceArray(0.3237, dtype=float32), {'act_fn': <jax.custom_derivatives.custom_jvp object at 0x7f4622f35d30>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.95, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30, 'skew': 1.0})
